Sl. No.,State-wise,Number of Registered Doctors
1,Andhra Pradesh,102924
2,Arunachal Pradesh,1179
3,Assam,24083
4,Bihar,45795
5,Chattisgarh,10020
6,Delhi,26685
7,Goa,4035
8,Gujarat,69746
9,Haryana,14517
10,Himachal Pradesh,3406
11,Jammu & Kashmir,16491
12,Jharkhand,6837
13,Karnataka,130698
14,Madhya Pradesh,40171
15,Maharashtra,188540
16,Kerala,65685
17,Mizoram,118
18,Nagaland,141
19,Orissa,24780
20,Punjab,51685
21,Rajasthan,46253
22,Sikkim,1414
23,Tamil Nadu,148216
24,Uttar Pradesh,84560
25,Uttarakhand,9348
26,West Bengal,75917
27,Tripura,1945
28,Telangana,7931
29,Medical Council of India*,52666
Total,Total,1255786
